kullanim_alani,yakit_tipi,yakit_tuketimi_l
 Kişisel araç ile Öğrenci okula geliş-gidiş kaynaklı emisyon,Mazot,50838.84
 Kişisel araç ile Öğrenci okula geliş-gidiş kaynaklı emisyon,Benzin,44167.68
 Kişisel araç ile Öğrenci okula geliş-gidiş kaynaklı emisyon,LPG,87951.95999999999
Toplu taşıma Öğrenci okula geliş-gidiş kaynaklı emisyon,Mazot,60513
Çalışanların işe gidiş gelişleri,Mazot,5370.299999999999
Çalışanların işe gidiş gelişleri,Benzin,4665.6
Çalışanların işe gidiş gelişleri,LPG,9290.7
Resmi ve Kiralık Araçların kullanımı,Mazot,45471
Personel taşımada kullanılan servis araçları,Mazot,12380.16
Kampüs içi çim biçimi yakıt tükerimi,benzin,466