sozlesme_no,blok,no,daire,isyeri,tuketim_2025_02_03,odenecek_tutar_2025_02_03,tuketim_2025_03_20,odenecek_tutar_2025_03_20,tuketim_2025_04_16,odenecek_tutar_2025_04_16,tuketim_2025_05_21,odenecek_tutar_2025_05_21,tuketim_2024_06_25,odenecek_tutar_2024_06_25,tuketim_2024_07_24,odenecek_tutar_2024_07_24,tuketim_2024_08_05,odenecek_tutar_2024_08_05,tuketim_2025_09_30,odenecek_tutar_2025_09_30,tuketim_2025_10_25,odenecek_tutar_2025_10_25,tuketim_2025_11_28,odenecek_tutar_2025_11_28,tuketim_2025_12_26,odenecek_tutar_2025_12_26
3368203,Amfitortum-D blok,267/22,Z,,,,,,,,,,,,,,,,,,,,,,,
3198126,Amfitortum-E blok,267/24,Z,,,,,,16065,325693.2,104,2340,,,,,,,,,,,1283.4286,25662.98,7122.677,142843.94
3400505453,Amfitoryum,267/24,,1,10046,197546.94,,,,,,,,,,,,,,,,,,,,
2976701,ARBİM,267/38,Z,,,,2358,36031.76,360,5757.68,30,521.4,,,,,1.8,34.7,0.9,17.94,,,289.29,5784.74,,
11532,Fars Dili,267/15,,1,12098,237714.66,17372,346217.84,,,,,,,,,,,,,,,,,,
2957485,Fizyoterapi BLM,267/36,Z,,,,,,,,,,,,,,,,,,31177.36,561275.6,1872.98,37451.46,6293.61607,126239.15
5839230,G. Sanatlar ve Mimarlık Fak.,267/14,,1,8537,167744.27,125353,250176.86,,,,,,,,,,,,,,,,,,
2730195,Hukuk Fak.,267/17,Z1,,,,,,22423,448906.57,203,4567.55,,,,,,,,,,,,,4775.94746,95510.05
5839235,Idari Bina,267/35,,1,3981,78223.03,,,1560,32300.52,,,,,,,,,,,,,,,,
2730199,Idari Bina- İdari işler,267/35,Z,,,,6564,130818.22,,,83,1867.52,,,,,,,,,,,1128.15,22558.2,3747.65893,75171.98
5839223,İİBF,267/11,,1,8338,163834.1,11254,224288.26,,,,,,,,,,,,,,,,,,
2730828,İkdisat Fak.,267/A,Z1,,,,,,1443,29877.98,,,,,,,,,,,,,2042.81,40847.33,,
2730193,İngiliz Dili Fak.,267/C,Z1,,,,,,1598,33087.32,140,3150.04,,,,,,,,,,,2608.1,52150.69,,
2730191,İnşaat Müh.,267/E,Z1,,,,,,1728,35779.03,217,4882.54,,,,,,,,,,,2639.64154,52781.35,,
2730190,Mimarlık Fak.,267/15,Z1,,,,,,2528,52343.4,313,7042.56,,,,,,,,,1.1,23.42,4112.309,82228.3,12539.71419,251536.4
2730189,MYO Lab. Sağlık MYO,267/32,Z,,,,,,2227,35617.67,183,3180.52,,,,,,,,,,,1273.294,25460.34,,
3369795,ODİTORYUM,267/2,Z,,,,4138,63740.57,724,11579.34,73,1268.74,,,,,,,,,,,755.55,15107.71,,
4167563,Restoran Gast.Mutfak,267/39,Mutfak,,,,,,5,103.52,,,11.5,244.88,,,,,,,12.94,257.76,12.13,242.57,10,200.93
3072559,Restoran Zemin Mutfak,267/39,Z1,,,,448,9571.4,100,2070.55,,,190,6455.81,,,,,,,282.42,5623.87,188.02,3759.71,172.56,3465.41
3396053,Z Kazan Yurt-A,265/7A,,,18179,357200.78,33799,673602.19,11534,238816.78,,,,,,,,,,,,,,,,
11528,Sağlık  MYO,267/32,,1,7880,119615.04,12566,193563.06,,,,,,,,,,,,,,,,,,
30186001,Sağlık Bilimleri Y. Okulu,267/2,,1,2800,42502.8,,,,,,,,,,,,,,,,,,,,
5839229,Yabancı Diller Y. Okulu,267/13,,1,5248,103118.4,10137,202026.84,,,,,,,,,,,,,31473.819999999996,,,,,